iter	Passed	Remaining
421	2276	51678
422	2281	51650
423	2286	51649
424	2292	51637
425	2299	51671
426	2304	51673
427	2309	51655
428	2314	51632
429	2318	51603
430	2323	51580
431	2328	51564
432	2335	51592
433	2340	51586
434	2345	51573
435	2350	51553
436	2355	51541
437	2359	51518
438	2367	51563
439	2372	51554
440	2377	51542
441	2382	51523
442	2387	51514
443	2392	51499
444	2399	51531
445	2405	51528
446	2410	51517
447	2415	51507
448	2420	51496
449	2425	51472
450	2433	51517
451	2438	51502
452	2442	51485
453	2447	51464
454	2452	51458
455	2458	51454
456	2465	51491
457	2471	51499
458	2476	51484
459	2481	51464
460	2486	51441
461	2490	51421
462	2497	51451
463	2503	51443
464	2507	51425
465	2512	51403
466	2517	51392
467	2523	51390
468	2529	51414
469	2534	51388
470	2539	51384
471	2544	51368
472	2550	51361
473	2554	51347
474	2562	51381
475	2567	51377
476	2572	51360
477	2578	51363
478	2583	51347
479	2587	51320
480	2595	51358
481	2599	51332
482	2605	51331
483	2609	51310
484	2614	51302
485	2620	51290
486	2627	51325
487	2633	51327
488	2638	51310
489	2642	51294
490	2647	51272
491	2653	51278
492	2660	51312
493	2666	51316
494	2670	51287
495	2675	51273
496	2680	51260
497	2686	51252
498	2693	51284
499	2699	51282
500	2703	51259
501	2708	51246
502	2713	51227
503	2717	51209
504	2722	51192
505	2729	51220
506	2735	51221
507	2740	51207
508	2745	51196
509	2750	51184
510	2757	51211
511	2762	51199
512	2768	51197
513	2772	51171
514	2777	51154
515	2782	51144
516	2787	51136
517	2795	51170
518	2800	51156
519	2805	51146
520	2811	51146
521	2815	51125
522	2820	51109
523	2827	51134
524	2833	51138
525	2838	51127
526	2843	51114
527	2848	51100
528	2853	51087
529	2859	51086
530	2863	51069
531	2868	51058
532	2874	51049
533	2879	51036
534	2884	51022
535	2890	51042
536	2896	51042
537	2901	51037
538	2907	51028
539	2912	51026
540	2920	51068
541	2926	51061
542	2931	51051
543	2937	51052
544	2941	51037
545	2946	51023
546	2953	51046
547	2959	51045
548	2964	51027
549	2968	51010
550	2973	50990
551	2978	50982
552	2984	50983
553	2990	50993
554	2996	50994
555	3001	50977
556	3006	50968
557	3011	50953
558	3015	50936
559	3023	50960
560	3028	50961
561	3034	50961
562	3038	50937
563	3043	50922
564	3048	50912
565	3056	50938
566	3062	50947
567	3067	50933
568	3072	50920
569	3077	50906
570	3082	50896
571	3090	50933
572	3095	50920
573	3100	50907
574	3104	50890
575	3109	50872
576	3114	50860
577	3121	50888
578	3127	50889
579	3133	50884
580	3138	50875
581	3143	50862
582	3148	50849
583	3155	50884
584	3160	50864
585	3165	50846
586	3169	50831
587	3174	50819
588	3185	50890
589	3190	50892
590	3196	50897
591	3201	50882
592	3206	50863
593	3211	50851
594	3218	50870
595	3224	50874
596	3229	50870
597	3234	50860
598	3239	50844
599	3244	50822
600	3250	50840
601	3255	50826
602	3260	50812
603	3265	50794
604	3269	50778
605	3274	50765
606	3279	50751
607	3287	50786
608	3292	50772
609	3297	50759
610	3301	50737
611	3306	50727
612	3311	50716
613	3319	50740
614	3325	50740
615	3329	50726
616	3334	50712
617	3339	50698
618	3343	50676
619	3351	50709
620	3357	50703
621	3361	50688
622	3366	50674
623	3371	50663
624	3376	50645
625	3383	50669
626	3390	50677
627	3395	50668
628	3399	50651
629	3405	50642
630	3409	50625
631	3417	50656
632	3423	50658
633	3428	50644
634	3433	50630
635	3438	50623
636	3443	50611
637	3450	50632
638	3455	50628
639	3460	50610
640	3465	50594
641	3469	50577
